word,emotion
cruelty,anger
cruelty,disgust
cruelty,fear
cruelty,sadness
crumbling,sadness
crunch,anger
crusade,anger
crusade,fear
crushed,anger
crushed,disgust
crushed,fear
crushed,sadness
crushing,anger
crushing,disgust
crushing,fear
crusty,disgust
cry,sadness
crying,sadness
crypt,fear
crypt,sadness
cube,trust
cuckold,disgust
cuddle,joy
cuddle,trust
cue,anticipation
culinary,trust
cult,fear
cultivate,anticipation
cultivate,trust
cumbersome,sadness
cupping,disgust
cupping,fear
cupping,sadness
cur,anger
cur,disgust
cur,fear
curable,trust
curiosity,anticipation
curiosity,surprise
curse,anger
curse,disgust
curse,fear
curse,sadness
cursed,anger
cursed,fear
cursed,sadness
cursing,anger
cursing,disgust
cussed,anger
custodian,trust
custody,trust
cutter,fear
cutthroat,anger
cutthroat,fear
cutting,anger
cutting,disgust
cutting,fear
cutting,sadness
cyanide,fear
cyclone,fear
cyclone,surprise
cyst,fear
cyst,sadness
cystic,disgust
cytomegalovirus,sadness
dabbling,anger
dabbling,disgust
daemon,anger
daemon,disgust
daemon,fear
daemon,sadness
daemon,surprise
daft,disgust
dagger,fear
daily,anticipation
damage,anger
damage,disgust
damage,sadness
damages,sadness
dame,anger
dame,disgust
dame,trust
damn,anger
damn,disgust
damnation,anger
damnation,fear
damnation,sadness
dance,joy
dance,trust
dandy,disgust
danger,fear
danger,sadness
dangerous,fear
dank,disgust
dare,anticipation
dare,trust
dark,sadness
darken,fear
darken,sadness
darkened,fear
darkened,sadness
darkness,anger
darkness,fear
darkness,sadness
darling,joy
darling,trust
dart,fear
dashed,anger
dashed,fear
dashed,sadness
dastardly,anger
dastardly,disgust
dastardly,fear
daughter,joy
dawn,anticipation
dawn,joy
dawn,surprise
dawn,trust
deacon,trust
deadly,anger
deadly,disgust
deadly,fear
deadly,sadness
deal,anticipation
deal,joy
deal,surprise
deal,trust
dealings,trust
death,anger
death,anticipation
death,disgust
death,fear
death,sadness
death,surprise
debacle,fear
debacle,sadness
debauchery,disgust
debauchery,fear
debenture,anticipation
debris,disgust
debt,sadness
decay,fear
decay,sadness
decayed,disgust
decayed,sadness
deceased,sadness
deceit,anger
deceit,disgust
deceit,fear
deceit,sadness
deceit,surprise
deceitful,disgust
deceitful,sadness
deceive,anger
deceive,disgust
deceive,sadness
deceived,anger
deceiving,trust
decompose,disgust
decomposed,sadness
decomposition,disgust
decomposition,fear
decomposition,sadness
decoy,surprise
decry,anger
deed,trust
defamation,disgust
defamation,fear
defamatory,anger
default,disgust
default,fear
default,sadness
defeated,sadness
defect,anger
defection,fear
defective,disgust
defend,fear
defendant,anger
defendant,fear
defendant,sadness
defended,trust
defender,trust
defense,anger
defense,anticipation
defense,fear
defenseless,fear
defenseless,sadness
deference,trust
defiance,anger
defiance,disgust
defiance,fear
defiant,anger
definitive,trust
deflate,anger
deflate,sadness
deflation,fear
deform,disgust
deformed,disgust
deformed,sadness
deformity,disgust
deformity,fear
